  t  inputs         outputs
---  -------------  -------------------
  0  night          r5, register, greet
  1  person, night  r5
  2  person, night  r5, greet, active
  3  night          r5, greet
  4  night          r5, greet
  5  person, night  r5
  6  person, night  r5
  7  person, night  r5, greet, active
  8  night          r5, active
  9  person, night  r5, greet, active
 10  person, night  r5, greet, active
 11  person, night  r5, greet, active
 12  night          r5, greet
 13  person, night  r5, greet, active
 14  night          r5, active
 15  person, night  r5
 16  person, night  r5, register, greet
 17  person, night  r5, greet, active
 18  night          r5, active
 19  night          r5, active
 20  night          r5, greet
 21  night          r5, register, greet
 22  night          r5, greet
 23  night          r5, greet
 24  night          r5, greet
 25  person, night  r5, greet, active
 26  person, night  r5, greet, active
 27  night          r5, active
 28  night          r5, register, greet
 29  person, night  r5, greet, active
 30  person, night  r5, register, greet
 31  night          r5, greet
 32  night          r5, active
 33  person, night  r5, greet, active
 34  night          r5, register, greet
 35  person, night  r5, register, greet
 36  night          r5, register, greet
 37  person, night  r5, greet, active
 38  person, night  r5, register, greet
 39  person, night  r5, register, greet
 40  person, night  r5, register, greet
 41  person, night  r5, greet, active
 42  night          r5, register, greet
 43  person, night  r5
 44  night          r5, register, greet
 45  person, night  r5, greet, active
 46  night          r5, active
 47  night          r5, greet
 48  person, night  r5, register, greet
 49  night          r5, active
