  t  inputs             outputs
---  -----------------  --------------
  0  object_recognized  l4
  1  object_recognized  hold, l5
  2  object_recognized  hold, l6
  3  object_recognized  hold, l3
  4  object_recognized  hold, l6
  5  object_recognized  hold, l5
  6  object_recognized  hold, l4
  7  object_recognized  hold, l1
  8                     hold, l1
  9                     hold, l1
 10  object_recognized  hold, l2
 11  object_recognized  hold, l3
 12  object_recognized  hold, k1
 13  object_recognized  hold, drop, k3
 14                     k1
 15  object_recognized  l3
 16  object_recognized  hold, l2
 17  object_recognized  hold, l5
 18  object_recognized  hold, l4
 19  object_recognized  hold, l5
 20  object_recognized  hold, l6
 21  object_recognized  hold, l3
 22  object_recognized  hold, l6
 23  object_recognized  hold, l5
 24  object_recognized  hold, l4
 25  object_recognized  hold, l1
 26  object_recognized  hold, l2
 27  object_recognized  hold, l3
 28  object_recognized  hold, k1
 29  object_recognized  hold, drop, k3
 30  object_recognized  k1
 31  object_recognized  hold, l3
 32  object_recognized  hold, l2
 33  object_recognized  hold, l5
 34  object_recognized  hold, l4
 35  object_recognized  hold, l5
 36  object_recognized  hold, l6
 37  object_recognized  hold, l3
 38  object_recognized  hold, l6
 39  object_recognized  hold, l5
 40  object_recognized  hold, l4
 41  object_recognized  hold, l1
 42                     hold, l1
 43                     hold, l1
 44  object_recognized  hold, l2
 45  object_recognized  hold, l3
 46  object_recognized  hold, k1
 47  object_recognized  hold, drop, k3
 48  object_recognized  k1
 49  object_recognized  hold, l3
