States          	 S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S40
Inital State    	 S0
Input  Alphabet 	 pickup, hold, drop, l4, k3, h2, h1, l3, l6, b2, k1, k2, l5, l1, l2, r1
Output Alphabet 	 object_recognized

true_ins                                 s    s'    true_outs
---------------------------------------  ---  ----  -----------------
- - - - - - - - - - - - -                S0   S1    object_recognized
drop                                     S0   S1    object_recognized
drop l2 r1                               S0   S1    object_recognized
drop l1 r1                               S0   S1    object_recognized
drop l1 l2 -                             S0   S1    object_recognized
drop l5 r1                               S0   S1    object_recognized
drop l5 l2 -                             S0   S1    object_recognized
drop l5 l1 - -                           S0   S1    object_recognized
drop k2 r1                               S0   S1    object_recognized
drop k2 l2 -                             S0   S1    object_recognized
drop k2 l1 - -                           S0   S1    object_recognized
drop k2 l5 - - -                         S0   S1    object_recognized
drop k1 r1                               S0   S1    object_recognized
drop k1 l2 -                             S0   S1    object_recognized
drop k1 l1 - -                           S0   S1    object_recognized
drop k1 l5 - - -                         S0   S1    object_recognized
drop k1 k2 - - - -                       S0   S1    object_recognized
drop b2 r1                               S0   S1    object_recognized
drop b2 l2 -                             S0   S1    object_recognized
drop b2 l1 - -                           S0   S1    object_recognized
drop b2 l5 - - -                         S0   S1    object_recognized
drop b2 k2 - - - -                       S0   S1    object_recognized
drop b2 k1 - - - - -                     S0   S1    object_recognized
drop l6 r1                               S0   S1    object_recognized
drop l6 l2 -                             S0   S1    object_recognized
drop l6 l1 - -                           S0   S1    object_recognized
drop l6 l5 - - -                         S0   S1    object_recognized
drop l6 k2 - - - -                       S0   S1    object_recognized
drop l6 k1 - - - - -                     S0   S1    object_recognized
drop l6 b2 - - - - - -                   S0   S1    object_recognized
drop l3 r1                               S0   S1    object_recognized
drop l3 l2 -                             S0   S1    object_recognized
drop l3 l1 - -                           S0   S1    object_recognized
drop l3 l5 - - -                         S0   S1    object_recognized
drop l3 k2 - - - -                       S0   S1    object_recognized
drop l3 k1 - - - - -                     S0   S1    object_recognized
drop l3 b2 - - - - - -                   S0   S1    object_recognized
drop l3 l6 - - - - - - -                 S0   S1    object_recognized
drop h1 r1                               S0   S1    object_recognized
drop h1 l2 -                             S0   S1    object_recognized
drop h1 l1 - -                           S0   S1    object_recognized
drop h1 l5 - - -                         S0   S1    object_recognized
drop h1 k2 - - - -                       S0   S1    object_recognized
drop h1 k1 - - - - -                     S0   S1    object_recognized
drop h1 b2 - - - - - -                   S0   S1    object_recognized
drop h1 l6 - - - - - - -                 S0   S1    object_recognized
drop h1 l3 - - - - - - - -               S0   S1    object_recognized
drop h2 r1                               S0   S1    object_recognized
drop h2 l2 -                             S0   S1    object_recognized
drop h2 l1 - -                           S0   S1    object_recognized
drop h2 l5 - - -                         S0   S1    object_recognized
drop h2 k2 - - - -                       S0   S1    object_recognized
drop h2 k1 - - - - -                     S0   S1    object_recognized
drop h2 b2 - - - - - -                   S0   S1    object_recognized
drop h2 l6 - - - - - - -                 S0   S1    object_recognized
drop h2 l3 - - - - - - - -               S0   S1    object_recognized
drop h2 h1 - - - - - - - - -             S0   S1    object_recognized
drop k3 r1                               S0   S1    object_recognized
drop k3 l2 -                             S0   S1    object_recognized
drop k3 l1 - -                           S0   S1    object_recognized
drop k3 l5 - - -                         S0   S1    object_recognized
drop k3 k2 - - - -                       S0   S1    object_recognized
drop k3 k1 - - - - -                     S0   S1    object_recognized
drop k3 b2 - - - - - -                   S0   S1    object_recognized
drop k3 l6 - - - - - - -                 S0   S1    object_recognized
drop k3 l3 - - - - - - - -               S0   S1    object_recognized
drop k3 h1 - - - - - - - - -             S0   S1    object_recognized
drop k3 h2 - - - - - - - - - -           S0   S1    object_recognized
drop l4 r1                               S0   S1    object_recognized
drop l4 l2 -                             S0   S1    object_recognized
drop l4 l1 - -                           S0   S1    object_recognized
drop l4 l5 - - -                         S0   S1    object_recognized
drop l4 k2 - - - -                       S0   S1    object_recognized
drop l4 k1 - - - - -                     S0   S1    object_recognized
drop l4 b2 - - - - - -                   S0   S1    object_recognized
drop l4 l6 - - - - - - -                 S0   S1    object_recognized
drop l4 l3 - - - - - - - -               S0   S1    object_recognized
drop l4 h1 - - - - - - - - -             S0   S1    object_recognized
drop l4 h2 - - - - - - - - - -           S0   S1    object_recognized
drop l4 k3 - - - - - - - - - - -         S0   S1    object_recognized
hold                                     S0   S1    object_recognized
hold l2 r1                               S0   S1    object_recognized
hold l1 r1                               S0   S1    object_recognized
hold l1 l2 -                             S0   S1    object_recognized
hold l5 r1                               S0   S1    object_recognized
hold l5 l2 -                             S0   S1    object_recognized
hold l5 l1 - -                           S0   S1    object_recognized
hold k2 r1                               S0   S1    object_recognized
hold k2 l2 -                             S0   S1    object_recognized
hold k2 l1 - -                           S0   S1    object_recognized
hold k2 l5 - - -                         S0   S1    object_recognized
hold k1 r1                               S0   S1    object_recognized
hold k1 l2 -                             S0   S1    object_recognized
hold k1 l1 - -                           S0   S1    object_recognized
hold k1 l5 - - -                         S0   S1    object_recognized
hold k1 k2 - - - -                       S0   S1    object_recognized
hold b2 r1                               S0   S1    object_recognized
hold b2 l2 -                             S0   S1    object_recognized
hold b2 l1 - -                           S0   S1    object_recognized
hold b2 l5 - - -                         S0   S1    object_recognized
hold b2 k2 - - - -                       S0   S1    object_recognized
hold b2 k1 - - - - -                     S0   S1    object_recognized
hold l6 r1                               S0   S1    object_recognized
hold l6 l2 -                             S0   S1    object_recognized
hold l6 l1 - -                           S0   S1    object_recognized
hold l6 l5 - - -                         S0   S1    object_recognized
hold l6 k2 - - - -                       S0   S1    object_recognized
hold l6 k1 - - - - -                     S0   S1    object_recognized
hold l6 b2 - - - - - -                   S0   S1    object_recognized
hold l3 r1                               S0   S1    object_recognized
hold l3 l2 -                             S0   S1    object_recognized
hold l3 l1 - -                           S0   S1    object_recognized
hold l3 l5 - - -                         S0   S1    object_recognized
hold l3 k2 - - - -                       S0   S1    object_recognized
hold l3 k1 - - - - -                     S0   S1    object_recognized
hold l3 b2 - - - - - -                   S0   S1    object_recognized
hold l3 l6 - - - - - - -                 S0   S1    object_recognized
hold h1 r1                               S0   S1    object_recognized
hold h1 l2 -                             S0   S1    object_recognized
hold h1 l1 - -                           S0   S1    object_recognized
hold h1 l5 - - -                         S0   S1    object_recognized
hold h1 k2 - - - -                       S0   S1    object_recognized
hold h1 k1 - - - - -                     S0   S1    object_recognized
hold h1 b2 - - - - - -                   S0   S1    object_recognized
hold h1 l6 - - - - - - -                 S0   S1    object_recognized
hold h1 l3 - - - - - - - -               S0   S1    object_recognized
hold h2 r1                               S0   S1    object_recognized
hold h2 l2 -                             S0   S1    object_recognized
hold h2 l1 - -                           S0   S1    object_recognized
hold h2 l5 - - -                         S0   S1    object_recognized
hold h2 k2 - - - -                       S0   S1    object_recognized
hold h2 k1 - - - - -                     S0   S1    object_recognized
hold h2 b2 - - - - - -                   S0   S1    object_recognized
hold h2 l6 - - - - - - -                 S0   S1    object_recognized
hold h2 l3 - - - - - - - -               S0   S1    object_recognized
hold h2 h1 - - - - - - - - -             S0   S1    object_recognized
hold k3 r1                               S0   S1    object_recognized
hold k3 l2 -                             S0   S1    object_recognized
hold k3 l1 - -                           S0   S1    object_recognized
hold k3 l5 - - -                         S0   S1    object_recognized
hold k3 k2 - - - -                       S0   S1    object_recognized
hold k3 k1 - - - - -                     S0   S1    object_recognized
hold k3 b2 - - - - - -                   S0   S1    object_recognized
hold k3 l6 - - - - - - -                 S0   S1    object_recognized
hold k3 l3 - - - - - - - -               S0   S1    object_recognized
hold k3 h1 - - - - - - - - -             S0   S1    object_recognized
hold k3 h2 - - - - - - - - - -           S0   S1    object_recognized
hold l4 r1                               S0   S1    object_recognized
hold l4 l2 -                             S0   S1    object_recognized
hold l4 l1 - -                           S0   S1    object_recognized
hold l4 l5 - - -                         S0   S1    object_recognized
hold l4 k2 - - - -                       S0   S1    object_recognized
hold l4 k1 - - - - -                     S0   S1    object_recognized
hold l4 b2 - - - - - -                   S0   S1    object_recognized
hold l4 l6 - - - - - - -                 S0   S1    object_recognized
hold l4 l3 - - - - - - - -               S0   S1    object_recognized
hold l4 h1 - - - - - - - - -             S0   S1    object_recognized
hold l4 h2 - - - - - - - - - -           S0   S1    object_recognized
hold l4 k3 - - - - - - - - - - -         S0   S1    object_recognized
hold drop - - - - - - - - - - - - -      S0   S1    object_recognized
pickup                                   S0   S1    object_recognized
pickup l2 r1                             S0   S1    object_recognized
pickup l1 r1                             S0   S1    object_recognized
pickup l1 l2 -                           S0   S1    object_recognized
pickup l5 r1                             S0   S1    object_recognized
pickup l5 l2 -                           S0   S1    object_recognized
pickup l5 l1 - -                         S0   S1    object_recognized
pickup k2 r1                             S0   S1    object_recognized
pickup k2 l2 -                           S0   S1    object_recognized
pickup k2 l1 - -                         S0   S1    object_recognized
pickup k2 l5 - - -                       S0   S1    object_recognized
pickup k1 r1                             S0   S1    object_recognized
pickup k1 l2 -                           S0   S1    object_recognized
pickup k1 l1 - -                         S0   S1    object_recognized
pickup k1 l5 - - -                       S0   S1    object_recognized
pickup k1 k2 - - - -                     S0   S1    object_recognized
pickup b2 r1                             S0   S1    object_recognized
pickup b2 l2 -                           S0   S1    object_recognized
pickup b2 l1 - -                         S0   S1    object_recognized
pickup b2 l5 - - -                       S0   S1    object_recognized
pickup b2 k2 - - - -                     S0   S1    object_recognized
pickup b2 k1 - - - - -                   S0   S1    object_recognized
pickup l6 r1                             S0   S1    object_recognized
pickup l6 l2 -                           S0   S1    object_recognized
pickup l6 l1 - -                         S0   S1    object_recognized
pickup l6 l5 - - -                       S0   S1    object_recognized
pickup l6 k2 - - - -                     S0   S1    object_recognized
pickup l6 k1 - - - - -                   S0   S1    object_recognized
pickup l6 b2 - - - - - -                 S0   S1    object_recognized
pickup l3 r1                             S0   S1    object_recognized
pickup l3 l2 -                           S0   S1    object_recognized
pickup l3 l1 - -                         S0   S1    object_recognized
pickup l3 l5 - - -                       S0   S1    object_recognized
pickup l3 k2 - - - -                     S0   S1    object_recognized
pickup l3 k1 - - - - -                   S0   S1    object_recognized
