  t  inputs             outputs
---  -----------------  ----------------
  0  object_recognized  drop, l4
  1  object_recognized  pickup, hold, l5
  2  object_recognized  hold, l6
  3  object_recognized  hold, l3
  4  object_recognized  hold, l6
  5  object_recognized  hold, l5
  6  object_recognized  hold, l4
  7  object_recognized  hold, l1
  8  object_recognized  hold, l2
  9  object_recognized  hold, l3
 10  object_recognized  hold, k1
 11  object_recognized  hold, k3
 12                     drop, k1
 13                     drop, l3
 14  object_recognized  drop, l6
 15  object_recognized  pickup, drop, l5
 16  object_recognized  pickup, hold, l4
 17  object_recognized  hold, l5
 18  object_recognized  hold, l6
 19  object_recognized  hold, l3
 20  object_recognized  hold, l6
 21  object_recognized  hold, l5
 22  object_recognized  hold, l4
 23  object_recognized  hold, l1
 24  object_recognized  hold, l2
 25  object_recognized  hold, l3
 26  object_recognized  hold, k1
 27  object_recognized  hold, k3
 28  object_recognized  drop, k1
 29                     pickup, drop, l3
 30  object_recognized  hold, l2
 31  object_recognized  hold, l5
 32  object_recognized  hold, l4
 33  object_recognized  hold, l5
 34  object_recognized  hold, l6
 35  object_recognized  hold, l3
 36  object_recognized  hold, l6
 37  object_recognized  hold, l5
 38  object_recognized  hold, l4
 39  object_recognized  hold, l1
 40                     hold, l1
 41  object_recognized  hold, l2
 42  object_recognized  hold, l3
 43  object_recognized  hold, k1
 44  object_recognized  hold, k3
 45                     drop, k1
 46  object_recognized  drop, l3
 47  object_recognized  pickup, drop, l6
 48  object_recognized  pickup, hold, l5
 49  object_recognized  hold, l4
